image,accepted,label,confidence,text,scale,attempt_count,bbox
close_auto_0034.png,True,DAILY,0.99907,日用 / 物块 / 口,1.0,1,"[283, 160, 42, 22]"
close_auto_0035.png,True,ELECTRONICS,0.99989,电子 / 物块,1.0,1,"[402, 272, 43, 25]"
close_auto_0036.png,True,FOOD,0.76652,食品 / 物块,1.0,1,"[234, 199, 46, 26]"
close_auto_0037.png,True,DAILY,0.99826,日用 / 物块,1.0,1,"[431, 297, 48, 29]"
close_auto_0038.png,True,FOOD,0.99891,食品 / 物块,1.0,1,"[482, 218, 48, 25]"
close_auto_0039.png,True,FOOD,0.99819,食品 / 口 / 物块,1.0,1,"[153, 287, 51, 32]"
close_auto_0040.png,True,ELECTRONICS,0.9999,电子 / 物块 / 口,1.0,1,"[354, 187, 40, 22]"
close_auto_0041.png,True,FOOD,0.99967,食品 / 物块,1.0,1,"[219, 143, 41, 21]"
close_auto_0042.png,True,FOOD,0.99927,食品 / 物块 / 口,1.0,1,"[124, 208, 47, 29]"
close_auto_0043.png,True,ELECTRONICS,0.99962,电子 / 物块 / 口,1.0,1,"[149, 181, 40, 24]"
close_auto_0044.png,True,FOOD,0.99721,食品 / 物块 / 口,2.0,2,"[112, 248, 44, 26]"
close_auto_0045.png,True,DAILY,0.99894,日用 / 物块,1.0,1,"[397, 179, 42, 21]"
close_auto_0046.png,True,ELECTRONICS,0.99989,电子 / 物块 / 口 / _,1.0,1,"[161, 238, 46, 26]"
close_auto_0047.png,True,DAILY,0.9984,日用 / 物块 / 口,1.0,1,"[127, 221, 45, 24]"
close_auto_0048.png,True,DAILY,0.99848,日用 / 物块,1.0,1,"[304, 152, 44, 23]"
close_auto_0049.png,True,ELECTRONICS,0.99993,电子 / 物块,1.0,1,"[218, 248, 46, 26]"
close_auto_0050.png,True,ELECTRONICS,0.99986,电子 / 物块,1.0,1,"[332, 164, 37, 20]"
close_auto_0051.png,True,FOOD,0.99981,食品 / 物块,1.0,1,"[287, 176, 46, 26]"
close_auto_0052.png,True,DAILY,0.9977,日用 / 物块 / 口,2.0,2,"[88, 256, 42, 22]"
close_auto_0053.png,True,FOOD,0.99658,食品 / 物块,1.0,1,"[392, 247, 45, 24]"
close_auto_0054.png,True,DAILY,0.99917,日用 / 物块 / 口,1.0,1,"[378, 272, 46, 26]"
close_auto_0055.png,True,ELECTRONICS,0.99989,电子 / 物块 / 口,1.0,1,"[226, 126, 36, 20]"
close_auto_0056.png,True,ELECTRONICS,0.99995,电子 / 物块 / 1,1.0,1,"[419, 175, 41, 21]"
close_auto_0057.png,True,FOOD,0.9994,食品 / 物块 / 1,1.0,1,"[141, 240, 48, 30]"
close_auto_0058.png,True,ELECTRONICS,0.9999,电子 / 物块,1.0,1,"[391, 306, 47, 29]"
close_auto_0059.png,True,ELECTRONICS,0.99993,电子 / 物块 / 口,1.0,1,"[276, 141, 38, 19]"
close_auto_0060.png,True,FOOD,0.99688,食品 / 物块,1.0,1,"[363, 234, 48, 27]"
close_auto_0061.png,True,DAILY,0.99836,日用 / 物块,1.0,1,"[397, 153, 43, 23]"
close_auto_0062.png,True,FOOD,0.9872,食品 / 物块 / 口,2.0,2,"[310, 228, 48, 26]"
close_auto_0063.png,True,ELECTRONICS,0.99978,电子 / 物块,1.0,1,"[366, 310, 46, 28]"
close_auto_0064.png,True,DAILY,0.99793,日用 / 物块,1.0,1,"[321, 212, 46, 26]"
close_auto_0065.png,True,ELECTRONICS,0.99993,电子 / 口 / 物块,1.0,1,"[164, 308, 50, 31]"
close_auto_0066.png,True,ELECTRONICS,0.99992,电子 / 物块 / 口,1.0,1,"[346, 174, 42, 23]"
close_auto_0067.png,True,ELECTRONICS,0.99995,电子 / 物块 / 口,1.0,1,"[154, 142, 37, 19]"
close_auto_0068.png,True,ELECTRONICS,0.99991,电子 / 物块 / 口,1.0,1,"[188, 245, 43, 24]"
close_auto_0069.png,True,FOOD,0.999,食品 / 物块 / 口,1.0,1,"[242, 239, 46, 27]"
close_auto_0070.png,True,ELECTRONICS,0.99991,电子 / 物块,1.0,1,"[403, 265, 42, 24]"
close_auto_0071.png,True,DAILY,0.99892,日用 / 物块,1.0,1,"[286, 152, 43, 23]"
close_auto_0072.png,True,ELECTRONICS,0.99988,电子 / 物块,1.0,1,"[473, 213, 41, 22]"
close_auto_0073.png,True,DAILY,0.99747,日用 / 物块 / 口,2.0,2,"[102, 246, 49, 32]"
close_auto_0074.png,True,DAILY,0.99732,日用 / 物块 / 口,1.0,1,"[474, 231, 47, 26]"
close_auto_0075.png,True,ELECTRONICS,0.99997,电子 / 物块 / 口,1.0,1,"[195, 159, 39, 19]"
close_auto_0076.png,True,DAILY,0.99824,日用 / 物块,1.0,1,"[184, 158, 43, 24]"
close_auto_0077.png,True,ELECTRONICS,0.99994,电子 / 物块,1.0,1,"[241, 138, 36, 19]"
close_auto_0078.png,True,DAILY,0.99811,日用 / 物块,1.0,1,"[280, 242, 50, 30]"
close_auto_0079.png,True,FOOD,0.99964,食品 / 物块 / 口 / 1,1.0,1,"[267, 167, 49, 31]"
